version,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length,anomaly
1,internal,create_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,b4eade91-8edf-4163-b01a-c99594f9c25d,120e9829f86247e315f18fe4d520e188,e32fa9a6-b9e4-4fde-b29b-b0e75c3a0f9f:e30daa12-976f-4999-a8a4-3fee2ca8b590,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,52bc39bc-f532-4d26-ae9c-77b360f0e465,d935580bf032740b73dd741c3a3193cf,ef18e1a2-d3f9-493b-a608-4f615d2d8f62,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,5e180d13-66ac-48ad-91f4-a0aaec549f8a,d935580bf032740b73dd741c3a3193cf,ef18e1a2-d3f9-493b-a608-4f615d2d8f62,addressbookbroker,restamqpgw,408.0,36,32,36,yes
1,internal,load_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,b293e5fe-ea9b-42ad-b4fa-672bed49b1fd,d935580bf032740b73dd741c3a3193cf,ef18e1a2-d3f9-493b-a608-4f615d2d8f62:bab1c2fb-78c8-4c13-ae52-33b41ce26669,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,4f15c3bb-1682-4e7c-9990-2406604759e0,77c46bd0131c143ed6638a0fd9921154,d446452e-d4c5-4843-8c37-eec3d2a0fb04,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,update_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,73601b3d-b935-4085-aebb-c7b546d98039,77c46bd0131c143ed6638a0fd9921154,d446452e-d4c5-4843-8c37-eec3d2a0fb04:5fb94ad8-c511-4e86-8da7-2f475a2a184c,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,68873111-eb51-40f9-a9f6-0a110c4f76a0,77c46bd0131c143ed6638a0fd9921154,d446452e-d4c5-4843-8c37-eec3d2a0fb04,addressbookbroker,restamqpgw,200.0,36,32,36,no
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,34595da8-dd51-407d-8f9c-799e307ddfbb,2ea6bf906656250a1018ec1a627d0622,5cb66ebd-875b-4692-8979-e77e7b7ae9b6,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,external,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,ad89b29e-79b6-42a6-b708-1ad10d55c893,2ea6bf906656250a1018ec1a627d0622,5cb66ebd-875b-4692-8979-e77e7b7ae9b6,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,cfd4243b-8187-43e5-8121-4613de4c1de4,2ea6bf906656250a1018ec1a627d0622,5cb66ebd-875b-4692-8979-e77e7b7ae9b6,addressbookbroker,restamqpgw,400.0,36,32,36,yes
